Membership No.	Start Year
431706	2013
123158	2013
1052389	2013
1048622	2013
1050221	2013
1050540	2013
1048416	2013
1046311	2013
425990	2013
1050420	2013
1046249	2013
1047790	2013
1047658	2013
1048305	2013
1050760	2013
1050795	2013
1047706	2013
1048854	2013
1050256	2013
T3006C	2013
1050530	2013
1051084	2013
1052204	2013
1047789	2013
1049450	2013
1050566	2013
1051068	2013
1050315	2013
1050370	2013
1051809	2013
1052478	2013
1051834	2013
1047514	2013
1050210	2013
1050966	2013
1051556	2013
1050801	2013
1051587	2013
1050205	2013
1050080	2013
1050094	2013
1052920	2013
1051523	2013
1050479	2013
1051564	2013
1049999	2013
1047715	2013
1047639	2013
1049830	2013
1047546	2013
1051443	2013
1048488	2013
1049302	2013
1047605	2013
1051861	2013
1050013	2013
1047700	2013
1051956	2013
1047627	2013
1046235	2013
1051706	2013
1300809	2014
1051010	2013
1050587	2013
1048834	2013
1048831	2013
1051428	2013
1049082	2013
1047692	2013
1050921	2013
1051108	2013
1050762	2013
1048843	2013
1047775	2013
1051330	2013
1051129	2013
1047660	2013
1048533	2013
1050045	2013
1047743	2013
1051082	2013
1051496	2013
1054826	2013
1052245	2013
1049292	2013
1050712	2013
1047694	2013
1050466	2013
1051707	2013
1051593	2013
1051446	2013
1049787	2013
1047566	2013
1051637	2013
1052079	2013
1050979	2013
1047531	2013
1047760	2013
1051599	2013
1048848	2013
1050283	2013
1047669	2013
1051693	2013
1051499	2013
1048595	2013
1047702	2013
1056804	2013
1050552	2013
1050432	2013
1048663	2013
147520	2013
1046297	2013
1050430	2013
154071	2013
1048812	2013
1051448	2013
1049971	2013
1062565	2013
1048311	2013
1050453	2013
1047667	2013
1051600	2013
1050968	2013
1046222	2013
1051437	2013
1051864	2013
1048552	2013
1047632	2013
1051590	2013
1047564	2013
1047704	2013
1047642	2013
1051436	2013
1047698	2013
1047651	2013
1048725	2013
1047727	2013
1003707	2013
1051868	2013
1051049	2013
1050694	2013
1049427	2013
1047741	2013
1050964	2013
1051060	2013
1063157	2013
1048233	2013
1063788	2013
1050775	2013
1050594	2013
1049790	2013
1051102	2013
1050028	2013
1047800	2013
1055793	2013
1051684	2013
1051577	2013
1049800	2013
1047649	2013
1051465	2013
1050496	2013
1061074	2013
1046377	2013
1049972	2013
1048842	2013
1049253	2013
1050972	2013
1050086	2013
1048490	2013
1047528	2013
1052391	2013
1052227	2013
1059317	2013
1049599	2013
1049290	2013
1050965	2013
1049992	2013
1047736	2013
1049974	2013
306362	2013
1047657	2013
1051329	2013
1048557	2013
135667	2013
1050473	2013
1051653	2013
1050449	2013
1050090	2013
1050360	2013
1048836	2013
1049287	2013
1047720	2013
1060426	2013
1050303	2013
1050798	2013
1050600	2013
1049987	2013
1050719	2013
1051528	2013
1050293	2013
1051122	2013
1050091	2013
1050388	2013
1051095	2013
1050041	2013
1050271	2013
1047785	2013
1047685	2013
1051594	2013
1050047	2013
1048421	2013
1051555	2013
1050128	2013
1047302	2013
1048626	2013
1051543	2013
1050738	2013
1050484	2013
136151	2013
1047739	2013
1050696	2013
1051114	2013
1048553	2013
1051430	2013
1051410	2013
1049233	2013
1050802	2013
1046376	2013
1050747	2013
1050224	2013
1047795	2013
1049320	2013
1052163	2013
1048840	2013
1050369	2013
1047697	2013
1050776	2013
1047748	2013
1122423	2013
1049128	2013
1047729	2013
1051043	2013
1048227	2013
1049811	2013
1046260	2013
1051085	2013
1047661	2013
1048551	2013
1048254	2013
1048723	2013
1050323	2013
1050088	2013
122701	2013
1048852	2013
1050336	2013
1052385	2013
1049525	2013
152189	2013
1050686	2013
1048438	2013
1047691	2013
1049190	2013
1051575	2013
1049109	2013
1049969	2013
1059787	2013
1046317	2013
1050169	2013
1048524	2013
1047189	2013
1049802	2013
1051504	2013
1047665	2013
157444	2013
1050196	2013
1048859	2013
1050016	2013
1049400	2013
1050118	2013
1049464	2013
1077122	2013
1047213	2013
1050087	2013
1051044	2013
1050407	2013
1056496	2013
1049917	2013
1047836	2013
1047781	2015
1052206	2013
1050568	2013
1049961	2013
1050706	2013
1047526	2013
1047523	2013
143621	2013
CINFO102	2013
1047628	2013
1050531	2013
1048555	2013
1065436	2013
1048435	2013
1051500	2013
1051701	2013
1103641	2013
1050374	2013
1049232	2013
1050589	2013
1302070	2013
1047192	2013
1049222	2013
1052488	2013
1047759	2013
1051628	2013
1051409	2013
1048675	2013
364711	2013
1078173	2013
1051123	2013
1048644	2013
1050216	2013
1051406	2013
1048035	2013
1050827	2013
1047806	2013
1050352	2013
1050142	2013
1047765	2013
1047637	2013
1089822	2013
1056530	2013
152746	2013
1049556	2013
1049966	2013
1050072	2013
1049950	2013
1051427	2013
1049506	2013
1050146	2013
1048307	2013
1061059	2013
1050260	2013
1046346	2013
1050934	2013
1048719	2013
1050297	2013
1047346	2013
1052217	2013
1050149	2013
1048566	2013
1047763	2013
1049305	2013
1050276	2013
1282373	2014
1050117	2013
149253	2013
1051433	2013
1047635	2013
1050068	2013
1058340	2013
1052277	2013
1048487	2013
1047796	2013
1050913	2013
1049504	2013
1047193	2013
1050055	2013
1050212	2013
1048230	2013
1051488	2013
1050629	2013
1047742	2013
1050278	2013
1050969	2013
1048687	2013
1051120	2013
1048550	2013
1050397	2013
1048733	2013
1048556	2013
1048913	2013
1051075	2013
1050203	2013
1052170	2013
159632	2013
1048919	2013
1050633	2014
1047650	2013
1050617	2013
1052284	2013
1049372	2013
1051709	2013
145343	2013
1028489	2013
1050607	2013
1052016	2013
1047595	2013
1085376	2013
1051858	2013
1050598	2013
1049337	2013
1050145	2013
1050931	2013
136783	2013
1049518	2013
1048241	2013
1051710	2013
200125470	2015
1050372	2013
1081264	2013
1051408	2013
1062310	2013
1048492	2013
405014	2013
1047738	2013
1048827	2013
1049483	2013
1049215	2013
1051438	2013
1051633	2013
1051462	2013
1051463	2013
153283	2013
1050340	2013
1048648	2013
1049137	2013
1048835	2013
1049462	2013
1047797	2013
1046295	2013
1049334	2013
422751	2013
1048679	2013
1050516	2013
1052084	2013
1049554	2013
1052267	2013
1049021	2013
1001513	2013
1050079	2013
1050373	2013
1047693	2013
1048528	2013
1051455	2013
1060431	2013
1049288	2013
143031	2015
1051679	2013
1048544	2013
1068822	2013
1051101	2013
1046364	2013
1049017	2013
1050156	2013
1047548	2013
1048830	2013
1048647	2013
1051873	2013
1049416	2013
1048445	2013
257620	2013
1050384	2013
1050815	2013
1047549	2013
323124	2013
1048446	2013
1050197	2013
1050812	2013
1048484	2013
1049391	2013
1050188	2013
1048721	2013
1059055	2013
1052243	2013
1050269	2013
1049959	2013
1050527	2013
CINFO105	2013
1047708	2013
1050267	2013
1047626	2013
1047749	2013
1047111	2013
1047740	2013
1052192	2013
1051106	2013
1049550	2013
1051665	2013
1050791	2013
1051058	2013
1049133	2013
1048718	2013
1059054	2013
1051885	2013
1048743	2013
1047762	2013
1109223	2013
1051070	2013
1050107	2014
1050958	2013
1048826	2013
1049535	2013
1052238	2013
1070342	2013
1050499	2013
1051254	2013
1047801	2013
1048567	2013
1049227	2013
1051439	2013
1052183	2013
150988	2013
1050021	2013
1052275	2013
141295	2013
1048855	2013
157615	2013
1047613	2013
