Membership No	Year	Bundle Name	On Trial	Trial Expiration Date	Amount
431706	2013	BLOOD-ONLY	N		1100
431706	2014	BLOOD-ONLY	N		1100
431706	2015	BLOOD-ONLY	N		1100
431706	2016	BLOOD-ONLY	N		1100
123158	2013	BLOOD-ONLY	N		1100
123158	2014	BLOOD-ONLY	N		1100
123158	2015	BLOOD-ONLY	N		1100
123158	2016	BLOOD-ONLY	N		1100
1052389	2013	ASH-ALL	N		1500
1052389	2014	ASH-ALL	N		1500
1052389	2015	ASH-ALL	N		1500
1052389	2016	ASH-ALL	N		1500
1048622	2013	BLOOD-ONLY	N		1100
1048622	2014	BLOOD-ONLY	N		1100
1048622	2015	BLOOD-ONLY	N		1100
1048622	2016	BLOOD-ONLY	N		1100
1050221	2013	BLOOD-ONLY	N		1100
1050221	2014	BLOOD-ONLY	N		1100
1050221	2015	BLOOD-ONLY	N		1100
1050221	2016	BLOOD-ONLY	N		1100
1050540	2013	ASH-ALL	N		1500
1050540	2014	ASH-ALL	N		1500
1050540	2015	ASH-ALL	N		1500
1050540	2016	ASH-ALL	N		1500
1048416	2013	ASH-ALL	N		1500
1048416	2014	ASH-ALL	N		1500
1048416	2015	ASH-ALL	N		1500
1048416	2016	ASH-ALL	N		1500
1046311	2013	ASH-ALL	N		1500
1046311	2014	ASH-ALL	N		1500
1046311	2015	ASH-ALL	N		1500
1046311	2016	ASH-ALL	N		1500
425990	2013	BLOOD-ONLY	N		1100
425990	2014	BLOOD-ONLY	N		1100
425990	2015	BLOOD-ONLY	N		1100
425990	2016	BLOOD-ONLY	N		1100
1050420	2013	BLOOD-ARCHIVE-ONLY	N		750
1050420	2014	BLOOD-ARCHIVE-ONLY	N		750
1050420	2015	BLOOD-ARCHIVE-ONLY	N		750
1050420	2016	BLOOD-ARCHIVE-ONLY	N		750
1046249	2013	ASH-ALL	N		1500
1046249	2014	ASH-ALL	N		1500
1046249	2015	ASH-ALL	N		1500
1046249	2016	ASH-ALL	N		1500
1047790	2013	BLOOD-ONLY	N		1100
1047790	2014	BLOOD-ONLY	N		1100
1047790	2015	BLOOD-ONLY	N		1100
1047790	2016	BLOOD-ONLY	N		1100
1047658	2013	ASH-ALL	N		1500
1047658	2014	ASH-ALL	N		1500
1047658	2015	ASH-ALL	N		1500
1047658	2016	ASH-ALL	N		1500
1048305	2013	ASH-ALL	N		1500
1048305	2014	ASH-ALL	N		1500
1048305	2015	ASH-ALL	N		1500
1048305	2016	ASH-ALL	N		1500
1050760	2013	BLOOD-ONLY	N		1100
1050760	2014	BLOOD-ONLY	N		1100
1050760	2015	BLOOD-ONLY	N		1100
1050760	2016	BLOOD-ONLY	N		1100
1050795	2013	BLOOD-ARCHIVE-ONLY	N		750
1050795	2014	BLOOD-ARCHIVE-ONLY	N		750
1050795	2015	BLOOD-ARCHIVE-ONLY	N		750
1050795	2016	BLOOD-ARCHIVE-ONLY	N		750
1047706	2013	ASH-ALL	N		1500
1047706	2014	ASH-ALL	N		1500
1047706	2015	ASH-ALL	N		1500
1047706	2016	ASH-ALL	N		1500
1048854	2013	ASH-ALL	N		1500
1048854	2014	ASH-ALL	N		1500
1048854	2015	ASH-ALL	N		1500
1048854	2016	ASH-ALL	N		1500
1050256	2013	BLOOD-ARCHIVE-ONLY	N		750
1050256	2014	BLOOD-ARCHIVE-ONLY	N		750
1050256	2015	BLOOD-ARCHIVE-ONLY	N		750
1050256	2016	BLOOD-ARCHIVE-ONLY	N		750
T3006C	2013	BLOOD-ONLY	N		1100
T3006C	2014	BLOOD-ONLY	N		1100
T3006C	2015	BLOOD-ONLY	N		1100
T3006C	2016	BLOOD-ONLY	N		1100
1050530	2013	BLOOD-ONLY	N		1100
1050530	2014	BLOOD-ONLY	N		1100
1050530	2015	BLOOD-ONLY	N		1100
1050530	2016	BLOOD-ONLY	N		1100
1051084	2013	BLOOD-ARCHIVE-ONLY	N		750
1051084	2014	BLOOD-ARCHIVE-ONLY	N		750
1051084	2015	BLOOD-ARCHIVE-ONLY	N		750
1051084	2016	BLOOD-ARCHIVE-ONLY	N		750
1052204	2013	BLOOD-ARCHIVE-ONLY	N		750
1052204	2014	BLOOD-ARCHIVE-ONLY	N		750
1052204	2015	BLOOD-ARCHIVE-ONLY	N		750
1052204	2016	BLOOD-ARCHIVE-ONLY	N		750
1047789	2013	ASH-ALL	N		1500
1047789	2014	ASH-ALL	N		1500
1047789	2015	ASH-ALL	N		1500
1047789	2016	ASH-ALL	N		1500
1049450	2013	ASH-ALL	N		1500
1049450	2014	ASH-ALL	N		1500
1049450	2015	ASH-ALL	N		1500
1049450	2016	ASH-ALL	N		1500
1050566	2013	ASH-ALL	N		1500
1050566	2014	ASH-ALL	N		1500
1050566	2015	ASH-ALL	N		1500
1050566	2016	ASH-ALL	N		1500
